LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate,Anomaly
1,-,1131566461,2005.11.09,dn228,Nov,9,12:01:01,dn228/dn228,crond(pam_unix),2915.0,session closed for user root,E117,session closed for user root,1.0
4,-,1131566461,2005.11.09,dn261,Nov,9,12:01:01,dn261/dn261,crond(pam_unix),2907.0,session closed for user root,E117,session closed for user root,1.0
7,-,1131566461,2005.11.09,dn3,Nov,9,12:01:01,dn3/dn3,crond(pam_unix),2907.0,session closed for user root,E117,session closed for user root,1.0
10,-,1131566461,2005.11.09,dn596,Nov,9,12:01:01,dn596/dn596,crond(pam_unix),2727.0,session closed for user root,E117,session closed for user root,1.0
13,-,1131566461,2005.11.09,dn700,Nov,9,12:01:01,dn700/dn700,crond(pam_unix),2912.0,session closed for user root,E117,session closed for user root,1.0
16,-,1131566461,2005.11.09,dn73,Nov,9,12:01:01,dn73/dn73,crond(pam_unix),2917.0,session closed for user root,E117,session closed for user root,1.0
19,-,1131566461,2005.11.09,dn731,Nov,9,12:01:01,dn731/dn731,crond(pam_unix),2916.0,session closed for user root,E117,session closed for user root,1.0
22,-,1131566461,2005.11.09,dn754,Nov,9,12:01:01,dn754/dn754,crond(pam_unix),2913.0,session closed for user root,E117,session closed for user root,1.0
25,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond(pam_unix),2920.0,session closed for user root,E117,session closed for user root,1.0
28,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond(pam_unix),4307.0,session closed for user root,E117,session closed for user root,1.0
31,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond(pam_unix),12636.0,session closed for user root,E117,session closed for user root,1.0
34,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond(pam_unix),8950.0,session closed for user root,E117,session closed for user root,1.0
37,-,1131566461,2005.11.09,en74,Nov,9,12:01:01,en74/en74,crond(pam_unix),3080.0,session closed for user root,E117,session closed for user root,1.0
40,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,1.0
41,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,1.0
42,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,1.0
43,-,1131566462,2005.11.09,#8#,Nov,9,12:01:02,#8#/#8#,crond(pam_unix),23469.0,session closed for user root,E117,session closed for user root,1.0
46,-,1131566463,2005.11.09,cn142,Nov,9,12:01:03,cn142/cn142,ntpd,7467.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>",1.0
47,-,1131566463,2005.11.09,dn1021,Nov,9,12:01:03,dn1021/dn1021,ntpd,32563.0,"synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>",1.0
48,-,1131566463,2005.11.09,dn736,Nov,9,12:01:03,dn736/dn736,ntpd,1119.0,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>",1.0
49,-,1131566463,2005.11.09,tbird-admin1,Nov,9,12:01:03,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,1.0
50,-,1131566467,2005.11.09,cn46,Nov,9,12:01:07,cn46/cn46,ntpd,15291.0,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to <*>, stratum <*>",1.0
51,-,1131566467,2005.11.09,tbird-admin1,Nov,9,12:01:07,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,1.0
